"Sequence Read Archive ID","NCBI Project ID","HMP Isolation Body Site","HMP Isolation Body Subsite","Gene Count","IMG/HMP ID","Sequencing Center","Addition Date","Last Modification Date","",
"SRS011105","48479","airways","Nares","4432","7000000387","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS011132","48479","airways","Nares","316","7000000030","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS011263","48479","airways","Nares","108","7000000542","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS011397","48479","airways","Nares","8467","7000000209","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS012291","48479","airways","Nares","37","7000000717","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS012663","48479","airways","Nares","4460","7000000424","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS012998","48479","airways","Nares","0","0","Broad Institute","2014-09-07T20:00:00","2016-12-20T19:11:19",
"SRS013155","48479","airways","Nares","3556","7000000428","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS013269","48479","airways","Nares","173","7000000467","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS013637","48479","airways","Nares","120","7000000718","Broad Institute","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS013740","48479","airways","Nares","0","0","Broad Institute","2014-09-07T20:00:00","2016-12-20T19:13:12",
"SRS013876","48479","airways","Nares","12066","7000000023","Washington University Genome Sequencing Center","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS013956","48479","airways","Nares","606","7000000235","Washington University Genome Sequencing Center","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS014464","48479","airways","Nares","849","7000000137","Washington University Genome Sequencing Center","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS014682","48479","airways","Nares","17412","7000000314","Washington University Genome Sequencing Center","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS014901","48479","airways","Nares","18781","7000000220","Washington University Genome Sequencing Center","2011-04-25T20:00:00","2011-08-15T20:00:00",
"SRS015051","48479","airways","Nares","3767","7000000066","Washington University Genome Sequencing Center","2011-04-25T20:00:00","2011-08-15T20:00:00",
